,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
49,southwest,4,mar,mon,low,low,low,low,low,high,high,no,no
50,southwest,4,sep,thu,high,low,high,high,high,low,low,no,no
51,southwest,3,aug,sun,low,low,mid,low,high,low,low,no,no
52,southwest,3,aug,wed,high,low,mid,high,high,low,high,no,no
53,southwest,3,aug,wed,high,low,mid,high,high,low,high,no,no
54,southwest,3,aug,thu,high,low,mid,low,low,high,low,no,no
55,southwest,3,sep,thu,high,low,high,high,high,low,low,no,no
56,southwest,3,sep,tue,low,low,veryhigh,low,low,high,high,no,no
57,southwest,3,oct,sun,high,low,high,low,low,high,low,no,no
58,southwest,2,feb,mon,low,low,low,low,low,low,high,no,no
59,southwest,2,feb,fri,low,low,low,low,low,high,low,no,no
60,southwest,2,mar,sun,low,low,low,high,low,low,high,no,no
61,southwest,2,mar,sun,low,low,low,high,low,high,high,no,no
62,southwest,2,aug,thu,high,low,mid,low,low,low,high,no,no
63,southwest,2,aug,sun,low,low,mid,low,high,low,low,no,no
64,southwest,2,aug,mon,high,low,mid,low,high,low,low,no,no
65,southwest,2,aug,thu,high,low,mid,low,low,low,high,no,no
66,southwest,2,sep,fri,high,low,high,high,high,low,high,no,no
67,southwest,2,sep,fri,high,low,high,high,high,low,high,no,no
68,southwest,2,sep,fri,high,low,high,high,high,low,high,no,no
69,southwest,5,mar,fri,high,low,low,low,low,low,high,no,no
70,southwest,5,mar,fri,high,low,low,high,low,low,high,no,no
71,southwest,5,sep,fri,high,low,high,high,low,low,low,no,no
72,southwest,4,mar,fri,high,low,low,low,low,low,high,no,no
73,southwest,4,aug,tue,low,low,mid,low,low,low,high,no,no
74,southwest,4,sep,fri,high,low,high,high,high,low,low,no,no
75,northeast,9,feb,thu,low,low,low,low,low,high,low,no,no
76,northeast,9,feb,fri,low,low,low,low,low,low,low,no,no
77,southwest,3,mar,mon,low,low,low,low,low,high,low,no,no
78,southwest,2,aug,fri,low,low,mid,high,low,high,low,no,no
79,southwest,2,aug,tue,high,low,mid,low,high,low,high,no,no
80,southwest,2,aug,sun,high,low,mid,high,high,low,high,no,no
81,southwest,2,aug,sun,low,low,mid,low,low,low,low,no,no
82,southwest,2,aug,tue,high,low,mid,high,low,high,high,no,no
83,southwest,2,aug,wed,high,low,mid,high,low,high,low,no,no
84,southwest,2,aug,thu,high,low,mid,low,high,high,low,no,no
85,southwest,2,sep,thu,high,low,high,high,high,low,low,no,no
86,southwest,2,sep,thu,high,low,high,high,high,low,low,no,no
87,southwest,2,sep,thu,high,low,high,high,high,low,low,no,no
88,southwest,2,sep,sun,high,low,veryhigh,low,high,low,low,no,no
89,southeast,5,mar,sat,high,low,low,low,low,low,high,no,no
90,southeast,5,aug,sat,low,low,mid,low,low,high,high,no,no
91,northeast,6,mar,fri,high,low,low,low,low,low,high,no,no
92,northeast,6,aug,sun,high,low,mid,high,high,low,high,no,no
93,northeast,6,aug,sun,high,low,mid,high,low,low,high,no,no
94,northeast,6,aug,mon,high,low,mid,low,high,low,low,no,no
95,southwest,4,sep,sun,low,low,high,low,low,high,low,no,no
96,southwest,4,feb,sat,low,low,low,low,low,high,low,no,no
97,southwest,4,mar,sat,low,low,low,low,low,low,high,no,no
98,southwest,4,aug,sun,high,low,mid,high,low,high,high,no,no
99,southwest,4,aug,sun,high,low,mid,high,high,low,high,no,no
100,southwest,4,aug,sun,high,low,mid,high,high,low,high,no,no
101,southwest,4,aug,tue,low,low,mid,low,low,high,high,no,no
102,southwest,4,aug,tue,high,low,mid,high,high,low,low,no,no
103,southwest,4,sep,sat,high,low,high,low,high,low,high,no,no
104,southwest,4,jan,sat,low,low,low,low,low,high,low,no,no
105,southwest,5,mar,fri,low,low,low,low,low,high,high,no,no
106,southwest,5,mar,thu,high,low,low,low,low,low,low,no,no
107,southwest,5,aug,sun,low,low,mid,low,high,low,low,no,no
108,southwest,5,sep,sat,high,low,high,low,high,high,low,no,no
109,southwest,5,sep,mon,low,low,high,low,low,high,high,no,no
110,southwest,4,mar,fri,low,low,low,low,low,low,high,no,no
111,southwest,4,mar,fri,high,low,low,low,low,low,high,no,no
112,southwest,4,sep,sun,low,low,high,low,high,low,low,no,no
113,southwest,4,sep,mon,high,low,veryhigh,high,high,low,low,no,no
114,southwest,4,mar,tue,low,low,low,low,low,low,high,no,no
115,southwest,5,mar,tue,low,low,low,low,low,low,high,no,no
116,southwest,4,mar,sat,high,low,low,low,low,low,high,no,no
117,southwest,4,mar,sat,high,low,low,low,low,low,high,no,no
118,southwest,4,mar,mon,low,low,low,low,low,low,low,no,no
119,southwest,4,aug,thu,high,low,mid,low,high,low,low,no,no
120,southwest,4,aug,mon,high,low,mid,high,low,high,low,no,no
121,southwest,4,aug,mon,high,low,mid,high,low,low,high,no,no
122,southwest,4,sep,sun,high,low,high,low,high,low,high,no,no
123,southwest,4,sep,tue,low,low,high,low,low,high,low,no,no
124,southwest,4,sep,fri,high,low,high,high,high,high,high,no,no
125,southwest,4,oct,sun,high,low,high,low,high,low,high,no,no
126,southwest,5,mar,mon,low,low,low,low,low,high,low,no,no
127,southwest,5,sep,fri,high,low,veryhigh,low,low,low,low,no,no
128,southwest,5,oct,wed,high,low,high,low,low,high,low,no,no
129,southwest,5,oct,sun,high,low,high,low,low,low,low,no,no
130,northwest,6,feb,sat,low,low,low,low,low,low,low,no,no
131,northwest,6,mar,mon,low,low,low,low,low,low,low,no,no
132,northwest,6,mar,sun,low,low,low,high,low,high,high,no,no
133,northwest,6,sep,thu,high,low,high,high,low,low,low,no,no
134,southwest,5,mar,tue,low,low,low,low,low,low,low,no,no
135,southwest,5,aug,sat,high,low,mid,high,low,high,high,no,no
136,northwest,6,sep,sun,high,low,high,low,low,high,low,no,no
137,northwest,6,sep,mon,high,low,high,low,low,high,low,no,no
138,northeast,9,jul,tue,low,low,low,low,low,low,low,no,yes
139,southwest,4,sep,tue,high,low,high,low,high,low,low,no,yes
140,southwest,5,sep,mon,high,low,high,low,high,low,low,no,yes
141,southwest,2,aug,wed,high,low,mid,high,high,low,high,no,yes
142,northeast,6,aug,fri,low,low,mid,high,high,high,high,no,yes
143,southwest,2,jul,sat,low,low,low,low,low,high,high,no,yes
144,southwest,5,aug,wed,high,low,mid,high,high,low,high,no,yes
145,southeast,5,aug,thu,high,low,mid,high,high,low,low,no,yes
146,southwest,4,mar,mon,low,low,low,low,low,low,high,no,yes
147,southeast,3,sep,tue,low,low,high,low,high,low,low,no,yes
148,southwest,2,aug,tue,high,low,mid,high,low,low,high,no,yes
149,northeast,6,sep,thu,high,low,high,high,high,low,high,no,yes
150,southeast,5,jun,fri,high,low,low,low,high,low,high,no,yes
151,northeast,9,jul,sun,low,low,low,low,high,low,low,no,yes
152,southwest,4,jul,sat,low,low,low,low,high,low,low,no,yes
153,southwest,4,sep,fri,high,low,high,high,high,high,high,no,yes
154,southwest,5,sep,sat,high,low,veryhigh,low,high,low,low,no,yes
155,southeast,4,aug,sun,high,low,mid,high,low,high,low,no,yes
156,southwest,4,sep,sat,high,low,veryhigh,low,high,low,low,no,yes
157,southwest,2,aug,wed,high,low,mid,high,low,high,low,no,yes
158,southwest,4,aug,wed,high,low,mid,high,high,low,low,no,yes
159,southeast,4,sep,fri,high,low,high,high,high,low,high,no,yes
160,southeast,4,mar,mon,low,low,low,low,low,low,low,no,yes
161,southeast,4,aug,thu,high,low,mid,high,high,low,low,no,yes
162,southeast,3,mar,sat,low,low,low,low,low,low,high,no,yes
163,northeast,6,sep,sat,high,low,high,low,low,high,low,no,yes
164,southeast,5,sep,sun,low,low,high,low,low,high,low,no,yes
165,southeast,5,mar,thu,low,low,low,low,low,high,high,no,yes
166,southeast,5,aug,wed,high,low,mid,high,low,high,low,no,yes
167,southeast,5,aug,wed,high,low,mid,high,high,low,high,no,yes
168,southeast,5,mar,fri,high,low,low,high,low,low,high,no,yes
169,northeast,6,aug,thu,high,low,mid,high,high,high,low,no,yes
170,southwest,4,sep,wed,high,low,high,high,high,low,low,no,yes
171,northeast,6,aug,wed,low,low,mid,low,low,high,low,no,yes
172,southeast,4,aug,sun,high,low,mid,high,high,low,high,no,yes
173,southwest,4,sep,mon,high,low,high,low,low,low,low,no,yes
174,southwest,4,aug,sat,low,low,mid,low,low,high,low,no,yes
175,southwest,4,aug,sat,low,low,mid,low,high,low,high,no,yes
176,southeast,5,apr,thu,low,low,low,low,low,high,high,no,yes
177,southwest,5,aug,sun,low,low,mid,low,high,low,low,no,yes
178,southwest,5,sep,wed,low,low,veryhigh,low,low,high,low,no,yes
179,northeast,6,aug,tue,low,low,mid,low,low,high,high,no,yes
180,southwest,3,sep,sun,high,low,high,low,high,low,high,no,yes
181,northeast,6,oct,mon,low,low,mid,low,high,low,low,no,yes
182,southwest,4,feb,sun,low,low,low,low,low,high,low,no,yes
183,southeast,4,oct,mon,high,low,high,high,low,high,high,no,yes
184,northeast,6,aug,fri,high,low,mid,high,high,low,high,no,yes
185,southwest,5,sep,tue,high,low,high,low,low,high,low,no,yes
186,northeast,6,mar,sun,low,low,low,high,low,low,high,no,yes
187,southwest,5,sep,mon,high,low,high,low,high,low,low,no,yes
188,southeast,4,mar,sat,high,low,low,low,low,low,low,no,yes
189,southeast,4,mar,sun,high,low,low,low,low,high,low,no,yes
190,southeast,5,mar,fri,high,low,low,high,low,low,low,no,yes
191,southwest,5,aug,thu,high,low,mid,high,high,low,low,no,yes
192,southwest,2,aug,tue,high,low,mid,high,high,low,high,no,yes
193,southwest,5,sep,wed,high,low,high,high,high,low,low,no,yes
194,southwest,2,aug,tue,high,low,mid,high,high,low,high,no,yes
195,southwest,5,aug,fri,high,low,mid,high,high,low,high,no,yes
196,southeast,5,apr,thu,low,low,low,low,low,high,high,no,yes
197,southwest,5,sep,thu,high,low,high,high,high,low,low,no,yes
198,southwest,4,sep,tue,high,low,high,low,low,high,high,no,yes
199,southwest,4,sep,mon,low,low,high,low,high,low,low,no,yes
200,southwest,5,sep,tue,high,low,high,low,high,low,low,no,yes
201,southeast,5,mar,sun,low,low,low,low,low,high,low,no,yes
202,southeast,4,feb,sun,low,low,low,low,low,high,low,no,yes
203,northeast,6,oct,wed,high,low,high,low,high,low,low,no,yes
204,northwest,6,mar,sat,low,low,low,low,low,high,low,no,yes
205,southwest,5,sep,thu,high,low,high,high,high,low,low,no,yes
206,southwest,2,aug,sat,high,low,mid,high,high,low,high,no,yes
207,southeast,5,sep,tue,high,low,high,low,high,low,low,no,yes
208,southeast,5,sep,fri,high,low,high,high,high,low,high,no,yes
209,southeast,3,sep,thu,high,low,high,high,high,low,high,no,yes
210,southwest,4,oct,sat,low,low,high,low,low,low,low,no,yes
211,southeast,4,aug,sat,high,low,mid,high,low,high,high,no,yes
212,southeast,4,sep,fri,high,low,high,high,high,high,high,no,yes
213,southeast,3,mar,mon,low,low,low,low,low,high,high,no,yes
214,southwest,4,mar,sat,high,low,low,low,low,low,high,no,yes
215,southwest,4,mar,sat,high,low,low,low,low,low,high,no,yes
216,southwest,4,sep,sun,high,low,high,low,low,high,low,no,yes
217,southwest,3,sep,mon,low,low,high,low,low,high,high,no,yes
218,southwest,5,sep,wed,high,low,high,high,high,low,low,no,yes
219,southeast,5,mar,mon,low,low,low,low,low,low,low,no,yes
220,northeast,6,aug,sun,low,low,mid,low,low,high,low,no,yes
221,southwest,4,sep,fri,high,low,high,high,low,high,low,no,yes
222,southwest,3,mar,mon,low,low,low,low,low,high,high,no,yes
223,southwest,2,jul,fri,low,low,low,low,low,high,low,no,yes
224,southeast,4,sep,wed,low,low,veryhigh,low,low,high,high,no,yes
225,southwest,4,sep,sun,high,low,veryhigh,low,high,low,high,no,yes
226,southeast,5,oct,mon,high,low,high,high,low,low,low,no,yes
227,northeast,6,aug,sat,high,low,mid,high,high,low,high,no,yes
228,northwest,6,sep,sun,high,low,veryhigh,low,high,low,low,no,yes
229,northeast,6,aug,sat,high,low,mid,high,low,low,low,no,yes
230,southwest,4,sep,wed,high,low,high,high,high,low,high,no,yes
231,southwest,5,sep,sun,high,low,veryhigh,low,high,low,low,no,yes
232,southeast,4,sep,tue,high,low,high,low,low,low,low,no,yes
233,southeast,4,sep,tue,low,low,high,low,high,low,low,no,yes
234,southwest,5,sep,sat,high,low,high,low,low,low,low,no,yes
235,northeast,6,aug,sun,high,low,mid,high,high,low,high,no,yes
236,southwest,2,sep,sat,high,low,high,low,low,high,low,no,yes
237,southwest,2,sep,tue,high,low,high,low,low,low,low,no,yes
238,southeast,5,sep,sat,high,low,high,low,high,low,low,no,yes
239,southeast,5,apr,sun,low,low,low,low,low,high,low,no,no
240,southeast,3,apr,wed,low,low,low,low,low,high,low,no,no
241,southwest,4,apr,fri,low,low,low,low,low,low,low,no,no
242,southwest,4,aug,sun,high,low,mid,high,low,high,low,no,yes
243,southeast,4,aug,sun,high,low,high,high,high,high,high,yes,no
244,southwest,4,aug,sun,high,low,high,high,high,high,high,no,yes
245,southwest,4,aug,sun,high,low,high,high,high,low,high,no,yes
246,southwest,4,aug,sun,high,low,high,high,high,low,high,no,yes
247,southwest,4,aug,wed,high,low,mid,high,high,high,low,no,yes
248,northeast,6,aug,wed,high,low,high,high,high,low,low,no,no
249,southwest,4,aug,wed,high,low,high,high,high,low,low,no,yes
250,southeast,5,aug,wed,high,low,high,high,high,low,low,no,yes
251,southeast,5,aug,wed,high,low,high,high,high,low,low,no,yes
252,southeast,5,aug,wed,high,low,high,high,high,low,low,no,yes
253,southeast,4,aug,thu,high,low,mid,low,high,low,low,no,yes
254,southeast,3,aug,thu,high,low,mid,low,high,low,low,no,yes
255,southwest,5,aug,thu,low,low,high,low,high,high,low,no,no
256,northeast,6,aug,sat,high,low,mid,high,high,low,low,no,yes
257,southwest,3,aug,sat,high,low,mid,high,high,low,low,no,yes
258,southwest,4,aug,sat,high,low,high,high,high,high,low,no,no
259,southeast,4,aug,sat,high,low,high,high,high,low,low,no,yes
260,southwest,4,aug,mon,high,low,mid,high,high,low,low,no,yes
261,southwest,4,aug,fri,high,low,mid,low,low,high,high,no,yes
262,southwest,4,aug,fri,high,low,mid,low,high,low,low,no,yes
263,southeast,3,aug,fri,high,low,mid,low,high,low,low,no,yes
264,southwest,4,aug,fri,high,low,high,high,high,high,low,no,yes
265,southwest,4,aug,tue,high,low,mid,high,high,high,high,no,yes
266,southeast,5,aug,tue,high,low,mid,high,high,high,low,no,yes
267,southwest,2,aug,tue,high,low,mid,high,high,low,low,no,no
268,southwest,4,aug,tue,high,low,mid,high,high,low,low,no,no
269,southwest,4,aug,tue,high,low,mid,high,high,high,low,no,yes
270,southwest,2,aug,tue,high,low,mid,high,high,high,low,no,yes
271,northeast,6,aug,tue,high,low,mid,high,high,high,high,no,yes
272,southwest,5,aug,tue,high,low,mid,high,high,high,low,no,yes
273,northwest,6,dec,sun,low,low,low,low,low,high,high,no,yes
274,northeast,6,dec,wed,low,low,low,low,low,high,high,no,yes
275,northwest,6,dec,thu,low,low,low,low,low,high,high,no,yes
276,southwest,4,dec,mon,low,low,low,low,low,low,high,no,yes
277,southwest,4,dec,mon,low,low,low,low,low,low,high,no,yes
278,southwest,4,dec,mon,low,low,low,low,low,low,high,no,yes
279,southwest,4,dec,mon,low,low,low,low,low,low,high,no,yes
280,northwest,6,dec,fri,low,low,low,low,low,high,high,no,yes
281,southeast,5,dec,tue,low,low,low,low,low,low,high,no,yes
282,southeast,3,feb,sun,low,low,low,low,low,high,low,no,no
283,southwest,4,feb,wed,low,low,low,low,low,low,low,no,yes
284,southwest,4,feb,fri,low,low,low,low,low,high,high,no,yes
285,southwest,5,jul,sun,high,low,low,high,high,low,high,no,no
286,northeast,6,jul,wed,high,low,low,high,low,high,high,yes,no
287,southeast,4,jul,sat,high,low,mid,low,high,high,low,no,no
288,southeast,4,jul,sat,high,low,mid,low,high,low,low,no,no
289,southeast,4,jul,sat,high,low,mid,low,high,low,low,no,no
290,southwest,5,jul,sat,high,low,mid,low,low,high,low,no,no
291,southeast,4,jul,sat,high,low,mid,low,high,low,low,no,yes
292,southwest,5,jul,fri,high,low,mid,low,high,low,low,no,yes
293,northeast,6,jul,tue,high,low,low,high,high,low,high,no,yes
294,northeast,6,jul,tue,high,low,mid,low,low,high,low,no,yes
295,southeast,5,jun,sun,high,low,low,high,high,high,low,no,no
296,southeast,4,jun,sun,low,low,low,low,low,high,low,no,yes
297,northeast,6,jun,sun,low,low,low,low,low,high,low,no,no
298,northeast,6,jun,wed,high,low,low,high,high,low,high,no,no
299,southeast,5,jun,sat,low,low,low,low,low,high,low,no,no
300,southeast,5,jun,mon,low,low,low,low,high,low,high,no,no
301,southeast,5,jun,mon,low,low,low,low,high,low,high,no,yes
302,northwest,6,jun,fri,high,low,low,low,high,low,high,no,no
303,northwest,6,jun,fri,high,low,low,low,high,low,high,no,no
304,southeast,5,may,sat,low,low,low,low,low,high,high,no,no
305,southwest,4,sep,sun,low,low,veryhigh,low,high,high,low,no,no
306,southeast,4,sep,sun,low,low,veryhigh,low,low,high,high,no,yes
307,southwest,4,sep,sun,low,low,veryhigh,low,high,low,low,no,yes
308,southwest,4,sep,sun,high,low,veryhigh,high,low,high,low,no,no
309,southwest,4,sep,sun,high,low,veryhigh,high,high,low,low,no,no
310,southeast,4,sep,sun,high,low,veryhigh,high,high,low,low,no,no
311,southeast,3,sep,sun,high,low,veryhigh,high,high,low,low,no,yes
312,southwest,4,sep,sun,low,low,high,low,low,high,high,no,no
313,southeast,5,sep,wed,high,low,veryhigh,low,high,low,high,no,no
314,southwest,4,sep,wed,high,low,veryhigh,low,high,low,low,no,yes
315,southwest,4,sep,wed,high,low,veryhigh,low,low,low,low,no,no
316,southwest,5,sep,thu,high,low,veryhigh,low,low,low,high,no,no
317,southwest,4,sep,thu,high,low,veryhigh,low,high,low,high,no,yes
318,southeast,5,sep,thu,high,low,veryhigh,low,high,low,low,no,no
319,southwest,4,sep,thu,high,low,veryhigh,low,high,low,high,no,yes
320,southeast,3,sep,thu,high,low,veryhigh,low,high,low,high,no,yes
321,southwest,4,sep,thu,high,low,veryhigh,low,low,low,low,no,yes
322,southeast,5,sep,thu,high,low,veryhigh,low,low,low,low,no,yes
323,southwest,5,sep,thu,high,low,veryhigh,low,low,low,low,no,yes
324,southeast,5,sep,thu,low,low,veryhigh,low,low,high,low,no,yes
325,southwest,4,sep,sat,high,low,veryhigh,low,high,low,low,no,no
326,southwest,4,sep,sat,high,low,veryhigh,low,high,low,low,no,no
327,southeast,5,sep,sat,high,low,veryhigh,low,high,low,low,no,no
328,southeast,5,sep,sat,high,low,veryhigh,low,high,low,low,no,no
329,southwest,3,sep,sat,high,low,veryhigh,low,high,low,low,no,yes
330,southwest,3,sep,sat,high,low,veryhigh,low,high,low,low,no,yes
331,southeast,4,sep,sat,high,low,veryhigh,low,high,low,high,no,yes
332,southwest,4,sep,sat,high,low,veryhigh,low,low,low,low,no,yes
333,southwest,4,sep,mon,high,low,veryhigh,high,low,high,low,no,yes
334,southwest,3,sep,mon,high,low,veryhigh,low,low,high,high,no,no
335,southwest,3,sep,mon,high,low,veryhigh,low,low,high,low,no,no
336,southeast,4,sep,mon,high,low,veryhigh,low,high,low,low,no,no
337,southeast,3,sep,mon,high,low,veryhigh,low,high,low,low,no,yes
338,northeast,6,sep,mon,high,low,veryhigh,low,high,low,low,no,yes
339,southwest,4,sep,mon,high,low,veryhigh,low,high,low,low,no,yes
340,southwest,5,sep,mon,high,low,veryhigh,low,high,low,low,no,yes
341,northeast,6,sep,mon,high,low,veryhigh,low,low,high,low,no,no
342,southeast,3,sep,mon,high,low,veryhigh,low,high,low,low,no,no
343,northeast,6,sep,mon,high,low,veryhigh,low,low,high,high,no,yes
344,southeast,3,sep,mon,high,low,veryhigh,low,low,high,high,no,yes
345,southwest,2,sep,mon,high,low,veryhigh,low,low,low,low,no,yes
346,southwest,4,sep,mon,high,low,veryhigh,low,high,low,low,no,yes
347,southwest,4,sep,fri,high,low,veryhigh,high,low,high,low,no,no
348,southwest,4,sep,fri,high,low,veryhigh,high,low,high,high,no,no
349,southwest,4,sep,fri,high,low,veryhigh,high,low,high,low,no,yes
350,southwest,4,sep,fri,high,low,veryhigh,high,low,high,low,no,yes
351,southwest,4,sep,fri,high,low,veryhigh,high,low,high,high,no,yes
352,southeast,4,sep,fri,high,low,veryhigh,high,high,low,low,no,yes
353,southeast,4,sep,fri,high,low,veryhigh,high,high,high,low,no,yes
354,southeast,4,sep,fri,high,low,veryhigh,high,low,high,low,no,yes
355,southwest,4,sep,fri,high,low,veryhigh,high,high,low,high,no,yes
356,southwest,4,sep,fri,high,low,veryhigh,high,high,low,high,no,yes
357,southeast,3,sep,fri,high,low,veryhigh,high,low,high,low,no,no
358,southeast,3,sep,fri,high,low,veryhigh,high,high,low,low,no,no
359,southwest,4,sep,fri,high,low,veryhigh,high,high,low,low,no,yes
360,southeast,5,sep,fri,high,low,veryhigh,high,low,low,low,no,yes
361,southwest,3,sep,fri,high,low,veryhigh,high,low,high,low,no,yes
362,southeast,4,sep,fri,low,low,veryhigh,high,low,high,low,no,yes
363,southwest,3,sep,tue,high,low,veryhigh,low,low,high,low,no,yes
364,southeast,5,sep,tue,high,low,veryhigh,low,high,low,low,no,yes
365,southeast,5,sep,tue,high,low,veryhigh,low,high,high,low,no,yes
366,southwest,5,sep,tue,high,low,veryhigh,high,low,low,high,no,yes
367,southwest,5,sep,tue,high,low,veryhigh,high,low,low,low,no,no
368,southeast,5,sep,sat,high,low,veryhigh,low,low,high,high,no,yes
369,southwest,5,sep,sun,high,low,veryhigh,low,low,high,high,no,no
370,southeast,4,sep,sun,high,low,veryhigh,low,low,high,high,no,yes
371,southwest,4,jul,wed,high,low,mid,low,low,high,low,no,no
372,southwest,5,aug,sun,high,low,high,low,low,high,low,no,no
373,southwest,4,aug,thu,high,low,high,high,high,low,low,no,no
374,southeast,5,sep,fri,low,low,veryhigh,low,low,high,low,no,yes
375,southeast,5,sep,sat,high,low,veryhigh,low,low,high,high,no,yes
376,northeast,6,aug,mon,high,low,high,low,high,high,low,no,no
377,southwest,2,aug,sat,high,low,veryhigh,low,high,low,low,no,yes
378,southeast,5,mar,thu,high,low,low,low,low,high,high,no,no
379,southwest,5,jan,sun,low,low,low,low,low,high,low,no,no
380,southwest,4,jul,wed,high,low,mid,high,high,low,high,no,yes
381,northeast,6,aug,thu,high,low,mid,low,low,high,low,no,yes
382,northeast,6,aug,wed,high,low,high,high,high,low,low,no,yes
383,northeast,6,aug,thu,high,low,veryhigh,low,high,high,low,no,yes
384,southeast,4,aug,sat,high,low,veryhigh,low,high,low,high,no,yes
385,southwest,4,aug,sun,high,low,mid,low,high,high,low,no,yes
386,southwest,4,sep,sun,low,low,veryhigh,high,high,high,high,no,yes
387,southwest,5,mar,thu,high,low,low,low,low,high,high,no,no
388,southeast,4,aug,fri,high,low,high,high,high,low,low,no,yes
389,southeast,4,aug,fri,high,low,high,high,high,low,low,no,no
390,southeast,4,feb,mon,low,low,low,low,low,high,high,no,yes
391,northeast,6,sep,fri,high,low,veryhigh,low,high,high,low,no,yes
392,southwest,3,sep,sun,high,low,veryhigh,low,high,low,low,no,yes
393,southwest,4,mar,tue,high,low,low,high,low,low,high,no,no
394,southeast,5,feb,mon,low,low,low,low,low,high,low,no,no
395,southwest,5,feb,sun,low,low,low,low,low,high,low,no,yes
396,southwest,3,sep,sun,low,low,veryhigh,high,high,high,high,no,yes
397,northwest,6,aug,sun,high,low,mid,low,high,low,low,no,yes
398,southwest,2,aug,sat,high,low,veryhigh,low,high,low,low,no,no
399,southeast,5,jun,wed,high,low,low,high,high,low,high,no,no
400,southeast,5,jun,wed,high,low,low,high,high,low,high,no,yes
401,southwest,4,sep,thu,high,low,veryhigh,low,high,high,low,no,yes
402,northeast,9,aug,fri,high,low,high,high,high,low,low,no,no
403,northeast,6,aug,thu,high,low,mid,low,high,low,low,no,no
404,southwest,4,sep,wed,low,low,veryhigh,low,high,low,low,no,yes
405,southwest,2,aug,tue,high,low,high,high,high,low,low,no,no
406,southeast,5,sep,sat,low,low,veryhigh,low,low,high,high,no,yes
407,southwest,5,feb,sat,low,low,low,low,low,high,low,no,no
408,southwest,3,sep,fri,low,low,veryhigh,low,high,low,low,no,yes
409,southwest,4,jul,tue,high,low,mid,high,high,low,high,no,no
410,southeast,3,feb,fri,low,low,low,low,low,low,low,no,no
411,southeast,4,feb,fri,low,low,low,low,low,high,high,no,yes
412,southeast,4,jul,mon,high,low,mid,high,high,low,high,no,yes
