ID,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
72,5,4,mar,fri,high,low,low,low,low,low,high,no,no
73,5,4,aug,tue,low,low,high,low,low,low,high,no,no
74,5,4,sep,fri,high,low,high,high,high,low,low,no,no
75,9,9,feb,thu,low,low,low,low,low,high,low,no,no
76,9,9,feb,fri,low,low,low,low,low,low,low,no,no
77,1,3,mar,mon,low,low,low,low,low,high,low,no,no
78,1,2,aug,fri,low,low,low,high,low,high,low,no,no
79,1,2,aug,tue,high,low,high,low,high,low,high,no,no
80,1,2,aug,sun,high,low,high,high,high,low,high,no,no
81,1,2,aug,sun,low,low,high,low,low,low,low,no,no
82,1,2,aug,tue,high,low,high,high,low,high,high,no,no
83,1,2,aug,wed,high,low,high,high,low,high,low,no,no
84,1,2,aug,thu,high,low,high,low,high,high,low,no,no
85,1,2,sep,thu,high,low,high,high,high,low,low,no,no
86,1,2,sep,thu,high,low,high,high,high,low,low,no,no
87,1,2,sep,thu,high,low,high,high,high,low,low,no,no
88,1,2,sep,sun,high,low,high,low,high,low,low,no,no
89,6,5,mar,sat,high,low,low,low,low,low,high,no,no
90,6,5,aug,sat,low,low,high,low,low,high,high,no,no
91,8,6,mar,fri,high,low,low,low,low,low,high,no,no
92,8,6,aug,sun,high,low,low,high,high,low,high,no,no
93,8,6,aug,sun,high,low,high,high,low,low,high,no,no
94,8,6,aug,mon,high,low,high,low,high,low,low,no,no
95,4,4,sep,sun,low,low,high,low,low,high,low,no,no
96,3,4,feb,sat,low,low,low,low,low,high,low,no,no
97,3,4,mar,sat,low,low,low,low,low,low,high,no,no
98,3,4,aug,sun,high,low,high,high,low,high,high,no,no
99,3,4,aug,sun,high,low,high,high,high,low,high,no,no
100,3,4,aug,sun,high,low,high,high,high,low,high,no,no
101,3,4,aug,tue,low,low,high,low,low,high,high,no,no
102,2,4,aug,tue,high,low,high,high,high,low,low,no,no
103,2,4,sep,sat,high,low,high,low,high,low,high,no,no
104,2,4,jan,sat,low,low,low,low,low,high,low,no,no
105,4,5,mar,fri,low,low,low,low,low,high,high,no,no
106,4,5,mar,thu,high,low,low,low,low,low,low,no,no
107,4,5,aug,sun,low,low,high,low,high,low,low,no,no
108,4,5,sep,sat,high,low,high,low,high,high,low,no,no
109,4,5,sep,mon,low,low,high,low,low,high,high,no,no
110,4,4,mar,fri,low,low,low,low,low,low,high,no,no
111,3,4,mar,fri,high,low,low,low,low,low,high,no,no
112,3,4,sep,sun,low,low,high,low,high,low,low,no,no
113,3,4,sep,mon,high,low,high,high,high,low,low,no,no
114,3,4,mar,tue,low,low,low,low,low,low,high,no,no
115,3,5,mar,tue,low,low,low,low,low,low,high,no,no
116,3,4,mar,sat,high,low,low,low,low,low,high,no,no
117,3,4,mar,sat,high,low,low,low,low,low,high,no,no
118,3,4,mar,mon,low,low,low,low,low,low,low,no,no
119,3,4,aug,thu,high,low,low,low,high,low,low,no,no
120,3,4,aug,mon,high,low,high,high,low,high,low,no,no
121,3,4,aug,mon,high,low,high,high,low,low,high,no,no
122,3,4,sep,sun,high,low,high,low,high,low,high,no,no
123,3,4,sep,tue,low,low,high,low,low,high,low,no,no
124,3,4,sep,fri,high,low,high,high,high,high,high,no,no
125,3,4,oct,sun,high,low,high,low,high,low,high,no,no
126,3,5,mar,mon,low,low,low,low,low,high,low,no,no
127,3,5,sep,fri,high,low,high,low,low,low,low,no,no
128,3,5,oct,wed,high,low,high,low,low,high,low,no,no
129,2,5,oct,sun,high,low,high,low,low,low,low,no,no
130,4,6,feb,sat,low,low,low,low,low,low,low,no,no
131,4,6,mar,mon,low,low,low,low,low,low,low,no,no
132,4,6,mar,sun,low,low,low,high,low,high,high,no,no
133,4,6,sep,thu,high,low,high,high,low,low,low,no,no
134,3,5,mar,tue,low,low,low,low,low,low,low,no,no
135,3,5,aug,sat,high,low,high,high,low,high,high,no,no
136,3,6,sep,sun,high,low,high,low,low,high,low,no,no
137,3,6,sep,mon,high,low,high,low,low,high,low,no,no
138,9,9,jul,tue,low,low,low,low,low,low,low,no,yes
139,1,4,sep,tue,high,low,high,low,high,low,low,no,yes
140,2,5,sep,mon,high,low,high,low,high,low,low,no,yes
141,1,2,aug,wed,high,low,low,high,high,low,high,no,yes
142,8,6,aug,fri,low,low,low,high,high,high,high,no,yes
143,1,2,jul,sat,low,low,low,low,low,high,high,no,yes
144,2,5,aug,wed,high,low,low,high,high,low,high,no,yes
145,6,5,aug,thu,high,low,high,high,high,low,low,no,yes
146,5,4,mar,mon,low,low,low,low,low,low,high,no,yes
147,8,3,sep,tue,low,low,high,low,high,low,low,no,yes
148,2,2,aug,tue,high,low,high,high,low,low,high,no,yes
149,8,6,sep,thu,high,low,high,high,high,low,high,no,yes
150,6,5,jun,fri,high,low,low,low,high,low,high,no,yes
151,9,9,jul,sun,low,low,low,low,high,low,low,no,yes
152,3,4,jul,sat,low,low,low,low,high,low,low,no,yes
153,5,4,sep,fri,high,low,high,high,high,high,high,no,yes
154,1,5,sep,sat,high,low,high,low,high,low,low,no,yes
155,7,4,aug,sun,high,low,high,high,low,high,low,no,yes
156,2,4,sep,sat,high,low,high,low,high,low,low,no,yes
157,2,2,aug,wed,high,low,high,high,low,high,low,no,yes
158,2,4,aug,wed,high,low,high,high,high,low,low,no,yes
159,7,4,sep,fri,high,low,high,high,high,low,high,no,yes
160,7,4,mar,mon,low,low,low,low,low,low,low,no,yes
161,6,4,aug,thu,high,low,high,high,high,low,low,no,yes
162,6,3,mar,sat,low,low,low,low,low,low,high,no,yes
163,8,6,sep,sat,high,low,high,low,low,high,low,no,yes
164,8,5,sep,sun,low,low,high,low,low,high,low,no,yes
165,6,5,mar,thu,low,low,low,low,low,high,high,no,yes
166,6,5,aug,wed,high,low,high,high,low,high,low,no,yes
167,6,5,aug,wed,high,low,high,high,high,low,high,no,yes
168,6,5,mar,fri,high,low,low,high,low,low,high,no,yes
169,8,6,aug,thu,high,low,high,high,high,high,low,no,yes
170,5,4,sep,wed,high,low,high,high,high,low,low,no,yes
171,8,6,aug,wed,low,low,high,low,low,high,low,no,yes
172,7,4,aug,sun,high,low,high,high,high,low,high,no,yes
173,4,4,sep,mon,high,low,high,low,low,low,low,no,yes
174,1,4,aug,sat,low,low,high,low,low,high,low,no,yes
175,1,4,aug,sat,low,low,high,low,high,low,high,no,yes
176,6,5,apr,thu,low,low,low,low,low,high,high,no,yes
177,2,5,aug,sun,low,low,high,low,high,low,low,no,yes
178,2,5,sep,wed,low,low,high,low,low,high,low,no,yes
179,8,6,aug,tue,low,low,high,low,low,high,high,no,yes
180,1,3,sep,sun,high,low,high,low,high,low,high,no,yes
181,8,6,oct,mon,low,low,high,low,high,low,low,no,yes
182,5,4,feb,sun,low,low,low,low,low,high,low,no,yes
183,7,4,oct,mon,high,low,high,high,low,high,high,no,yes
184,8,6,aug,fri,high,low,high,high,high,low,high,no,yes
185,2,5,sep,tue,high,low,high,low,low,high,low,no,yes
186,8,6,mar,sun,low,low,low,high,low,low,high,no,yes
187,1,5,sep,mon,high,low,high,low,high,low,low,no,yes
188,6,4,mar,sat,high,low,low,low,low,low,low,no,yes
189,7,4,mar,sun,high,low,low,low,low,high,low,no,yes
190,6,5,mar,fri,high,low,low,high,low,low,low,no,yes
191,2,5,aug,thu,high,low,high,high,high,low,low,no,yes
192,2,2,aug,tue,high,low,high,high,high,low,high,no,yes
193,4,5,sep,wed,high,low,high,high,high,low,low,no,yes
194,2,2,aug,tue,high,low,high,high,high,low,high,no,yes
195,2,5,aug,fri,high,low,high,high,high,low,high,no,yes
196,6,5,apr,thu,low,low,low,low,low,high,high,no,yes
197,4,5,sep,thu,high,low,high,high,high,low,low,no,yes
198,3,4,sep,tue,high,low,high,low,low,high,high,no,yes
199,2,4,sep,mon,low,low,high,low,high,low,low,no,yes
200,1,5,sep,tue,high,low,high,low,high,low,low,no,yes
201,6,5,mar,sun,low,low,low,low,low,high,low,no,yes
202,7,4,feb,sun,low,low,low,low,low,high,low,no,yes
203,8,6,oct,wed,high,low,high,low,high,low,low,no,yes
204,5,6,mar,sat,low,low,low,low,low,high,low,no,yes
205,4,5,sep,thu,high,low,high,high,high,low,low,no,yes
206,2,2,aug,sat,high,low,high,high,high,low,high,no,yes
207,7,5,sep,tue,high,low,high,low,high,low,low,no,yes
208,6,5,sep,fri,high,low,high,high,high,low,high,no,yes
209,8,3,sep,thu,high,low,high,high,high,low,high,no,yes
210,4,4,oct,sat,low,low,high,low,low,low,low,no,yes
211,7,4,aug,sat,high,low,high,high,low,high,high,no,yes
212,7,4,sep,fri,high,low,high,high,high,high,high,no,yes
213,7,3,mar,mon,low,low,low,low,low,high,high,no,yes
214,4,4,mar,sat,high,low,low,low,low,low,high,no,yes
215,4,4,mar,sat,high,low,low,low,low,low,high,no,yes
216,4,4,sep,sun,high,low,high,low,low,high,low,no,yes
217,1,3,sep,mon,low,low,high,low,low,high,high,no,yes
218,4,5,sep,wed,high,low,high,high,high,low,low,no,yes
219,6,5,mar,mon,low,low,low,low,low,low,low,no,yes
220,8,6,aug,sun,low,low,high,low,low,high,low,no,yes
221,3,4,sep,fri,high,low,high,high,low,high,low,no,yes
222,4,3,mar,mon,low,low,low,low,low,high,high,no,yes
223,2,2,jul,fri,low,low,low,low,low,high,low,no,yes
224,7,4,sep,wed,low,low,high,low,low,high,high,no,yes
225,4,4,sep,sun,high,low,high,low,high,low,high,no,yes
226,7,5,oct,mon,high,low,high,high,low,low,low,no,yes
227,8,6,aug,sat,high,low,low,high,high,low,high,no,yes
228,4,6,sep,sun,high,low,high,low,high,low,low,no,yes
229,8,6,aug,sat,high,low,low,high,low,low,low,no,yes
230,4,4,sep,wed,high,low,high,high,high,low,high,no,yes
231,1,5,sep,sun,high,low,high,low,high,low,low,no,yes
232,6,4,sep,tue,high,low,high,low,low,low,low,no,yes
233,9,4,sep,tue,low,low,high,low,high,low,low,no,yes
234,4,5,sep,sat,high,low,high,low,low,low,low,no,yes
235,8,6,aug,sun,high,low,high,high,high,low,high,no,yes
236,2,2,sep,sat,high,low,high,low,low,high,low,no,yes
237,1,2,sep,tue,high,low,high,low,low,low,low,no,yes
238,6,5,sep,sat,high,low,high,low,high,low,low,no,yes
239,7,5,apr,sun,low,low,low,low,low,high,low,no,no
240,6,3,apr,wed,low,low,low,low,low,high,low,no,no
241,4,4,apr,fri,low,low,low,low,low,low,low,no,no
242,2,4,aug,sun,high,low,high,high,low,high,low,no,yes
243,7,4,aug,sun,high,low,high,high,high,high,high,yes,no
244,2,4,aug,sun,high,low,high,high,high,high,high,no,yes
245,3,4,aug,sun,high,low,high,high,high,low,high,no,yes
246,5,4,aug,sun,high,low,high,high,high,low,high,no,yes
247,2,4,aug,wed,high,low,low,high,high,high,low,no,yes
248,8,6,aug,wed,high,low,high,high,high,low,low,no,no
249,3,4,aug,wed,high,low,high,high,high,low,low,no,yes
250,8,5,aug,wed,high,low,high,high,high,low,low,no,yes
251,8,5,aug,wed,high,low,high,high,high,low,low,no,yes
252,6,5,aug,wed,high,low,high,high,high,low,low,no,yes
253,7,4,aug,thu,high,low,high,low,high,low,low,no,yes
254,6,3,aug,thu,high,low,high,low,high,low,low,no,yes
255,2,5,aug,thu,low,low,high,low,high,high,low,no,no
256,8,6,aug,sat,high,low,high,high,high,low,low,no,yes
257,4,3,aug,sat,high,low,high,high,high,low,low,no,yes
258,3,4,aug,sat,high,low,high,high,high,high,low,no,no
259,7,4,aug,sat,high,low,high,high,high,low,low,no,yes
260,2,4,aug,mon,high,low,low,high,high,low,low,no,yes
261,3,4,aug,fri,high,low,high,low,low,high,high,no,yes
262,2,4,aug,fri,high,low,high,low,high,low,low,no,yes
263,6,3,aug,fri,high,low,high,low,high,low,low,no,yes
264,4,4,aug,fri,high,low,high,high,high,high,low,no,yes
265,4,4,aug,tue,high,low,high,high,high,high,high,no,yes
266,6,5,aug,tue,high,low,high,high,high,high,low,no,yes
267,2,2,aug,tue,high,low,high,high,high,low,low,no,no
268,3,4,aug,tue,high,low,high,high,high,low,low,no,no
269,4,4,aug,tue,high,low,high,high,high,high,low,no,yes
270,2,2,aug,tue,high,low,high,high,high,high,low,no,yes
271,8,6,aug,tue,high,low,high,high,high,high,high,no,yes
272,2,5,aug,tue,high,low,high,high,high,high,low,no,yes
273,4,6,dec,sun,low,low,low,low,low,high,high,no,yes
274,8,6,dec,wed,low,low,low,low,low,high,high,no,yes
275,4,6,dec,thu,low,low,low,low,low,high,high,no,yes
276,4,4,dec,mon,low,low,low,low,low,low,high,no,yes
277,3,4,dec,mon,low,low,low,low,low,low,high,no,yes
278,4,4,dec,mon,low,low,low,low,low,low,high,no,yes
279,4,4,dec,mon,low,low,low,low,low,low,high,no,yes
280,4,6,dec,fri,low,low,low,low,low,high,high,no,yes
281,6,5,dec,tue,low,low,low,low,low,low,high,no,yes
282,6,3,feb,sun,low,low,low,low,low,high,low,no,no
283,3,4,feb,wed,low,low,low,low,low,low,low,no,yes
284,5,4,feb,fri,low,low,low,low,low,high,high,no,yes
285,2,5,jul,sun,high,low,low,high,high,low,high,no,no
286,7,6,jul,wed,high,low,low,high,low,high,high,yes,no
287,7,4,jul,sat,high,low,low,low,high,high,low,no,no
288,7,4,jul,sat,high,low,low,low,high,low,low,no,no
289,7,4,jul,sat,high,low,low,low,high,low,low,no,no
290,2,5,jul,sat,high,low,low,low,low,high,low,no,no
291,9,4,jul,sat,high,low,low,low,high,low,low,no,yes
292,4,5,jul,fri,high,low,low,low,high,low,low,no,yes
293,7,6,jul,tue,high,low,low,high,high,low,high,no,yes
294,8,6,jul,tue,high,low,low,low,low,high,low,no,yes
295,7,5,jun,sun,high,low,low,high,high,high,low,no,no
296,6,4,jun,sun,low,low,low,low,low,high,low,no,yes
297,8,6,jun,sun,low,low,low,low,low,high,low,no,no
298,8,6,jun,wed,high,low,low,high,high,low,high,no,no
299,6,5,jun,sat,low,low,low,low,low,high,low,no,no
300,6,5,jun,mon,low,low,low,low,high,low,high,no,no
301,6,5,jun,mon,low,low,low,low,high,low,high,no,yes
302,3,6,jun,fri,high,low,low,low,high,low,high,no,no
303,3,6,jun,fri,high,low,low,low,high,low,high,no,no
304,6,5,may,sat,low,low,low,low,low,high,high,no,no
305,1,4,sep,sun,low,low,high,low,high,high,low,no,no
306,7,4,sep,sun,low,low,high,low,low,high,high,no,yes
307,3,4,sep,sun,low,low,high,low,high,low,low,no,yes
308,2,4,sep,sun,high,low,high,high,low,high,low,no,no
309,2,4,sep,sun,high,low,high,high,high,low,low,no,no
310,7,4,sep,sun,high,low,high,high,high,low,low,no,no
311,6,3,sep,sun,high,low,high,high,high,low,low,no,yes
312,2,4,sep,sun,low,low,high,low,low,high,high,no,no
313,6,5,sep,wed,high,low,high,low,high,low,high,no,no
314,4,4,sep,wed,high,low,high,low,high,low,low,no,yes
315,3,4,sep,wed,high,low,high,low,low,low,low,no,no
316,4,5,sep,thu,high,low,high,low,low,low,high,no,no
317,4,4,sep,thu,high,low,high,low,high,low,high,no,yes
318,6,5,sep,thu,high,low,high,low,high,low,low,no,no
319,5,4,sep,thu,high,low,high,low,high,low,high,no,yes
320,6,3,sep,thu,high,low,high,low,high,low,high,no,yes
321,1,4,sep,thu,high,low,high,low,low,low,low,no,yes
322,6,5,sep,thu,high,low,high,low,low,low,low,no,yes
323,3,5,sep,thu,high,low,high,low,low,low,low,no,yes
324,6,5,sep,thu,low,low,high,low,low,high,low,no,yes
325,1,4,sep,sat,high,low,high,low,high,low,low,no,no
326,5,4,sep,sat,high,low,high,low,high,low,low,no,no
327,6,5,sep,sat,high,low,high,low,high,low,low,no,no
328,6,5,sep,sat,high,low,high,low,high,low,low,no,no
329,4,3,sep,sat,high,low,high,low,high,low,low,no,yes
330,3,3,sep,sat,high,low,high,low,high,low,low,no,yes
331,7,4,sep,sat,high,low,high,low,high,low,high,no,yes
332,4,4,sep,sat,high,low,high,low,low,low,low,no,yes
333,1,4,sep,mon,high,low,high,high,low,high,low,no,yes
334,2,3,sep,mon,high,low,high,low,low,high,high,no,no
335,4,3,sep,mon,high,low,high,low,low,high,low,no,no
336,7,4,sep,mon,high,low,high,low,high,low,low,no,no
337,6,3,sep,mon,high,low,high,low,high,low,low,no,yes
338,8,6,sep,mon,high,low,high,low,high,low,low,no,yes
339,2,4,sep,mon,high,low,high,low,high,low,low,no,yes
340,2,5,sep,mon,high,low,high,low,high,low,low,no,yes
341,8,6,sep,mon,high,low,high,low,low,high,low,no,no
342,6,3,sep,mon,high,low,high,low,high,low,low,no,no
343,8,6,sep,mon,high,low,high,low,low,high,high,no,yes
344,6,3,sep,mon,high,low,high,low,low,high,high,no,yes
345,2,2,sep,mon,high,low,high,low,low,low,low,no,yes
346,1,4,sep,mon,high,low,high,low,high,low,low,no,yes
347,5,4,sep,fri,high,low,high,high,low,high,low,no,no
348,3,4,sep,fri,high,low,high,high,low,high,high,no,no
349,5,4,sep,fri,high,low,high,high,low,high,low,no,yes
350,5,4,sep,fri,high,low,high,high,low,high,low,no,yes
351,4,4,sep,fri,high,low,high,high,low,high,high,no,yes
352,7,4,sep,fri,high,low,high,high,high,low,low,no,yes
353,7,4,sep,fri,high,low,high,high,high,high,low,no,yes
354,7,4,sep,fri,high,low,high,high,low,high,low,no,yes
355,4,4,sep,fri,high,low,high,high,high,low,high,no,yes
356,4,4,sep,fri,high,low,high,high,high,low,high,no,yes
357,6,3,sep,fri,high,low,high,high,low,high,low,no,no
358,6,3,sep,fri,high,low,high,high,high,low,low,no,no
359,1,4,sep,fri,high,low,high,high,high,low,low,no,yes
360,6,5,sep,fri,high,low,high,high,low,low,low,no,yes
361,4,3,sep,fri,high,low,high,high,low,high,low,no,yes
362,7,4,sep,fri,low,low,high,high,low,high,low,no,yes
363,4,3,sep,tue,high,low,high,low,low,high,low,no,yes
364,6,5,sep,tue,high,low,high,low,high,low,low,no,yes
365,6,5,sep,tue,high,low,high,low,high,high,low,no,yes
366,4,5,sep,tue,high,low,high,high,low,low,high,no,yes
367,4,5,sep,tue,high,low,high,high,low,low,low,no,no
368,6,5,sep,sat,high,low,high,low,low,high,high,no,yes
369,4,5,sep,sun,high,low,high,low,low,high,high,no,no
370,7,4,sep,sun,high,low,high,low,low,high,high,no,yes
371,3,4,jul,wed,high,low,low,low,low,high,low,no,no
372,4,5,aug,sun,high,low,high,low,low,high,low,no,no
373,5,4,aug,thu,high,low,high,high,high,low,low,no,no
374,6,5,sep,fri,low,low,high,low,low,high,low,no,yes
375,6,5,sep,sat,high,low,high,low,low,high,high,no,yes
376,8,6,aug,mon,high,low,high,low,high,high,low,no,no
377,2,2,aug,sat,high,low,high,low,high,low,low,no,yes
378,6,5,mar,thu,high,low,low,low,low,high,high,no,no
379,4,5,jan,sun,low,low,low,low,low,high,low,no,no
380,5,4,jul,wed,high,low,low,high,high,low,high,no,yes
381,8,6,aug,thu,high,low,high,low,low,high,low,no,yes
382,8,6,aug,wed,high,low,high,high,high,low,low,no,yes
383,9,6,aug,thu,high,low,high,low,high,high,low,no,yes
384,8,4,aug,sat,high,low,high,low,high,low,high,no,yes
385,2,4,aug,sun,high,low,high,low,high,high,low,no,yes
386,3,4,sep,sun,low,low,high,high,high,high,high,no,yes
387,5,5,mar,thu,high,low,low,low,low,high,high,no,no
388,6,4,aug,fri,high,low,high,high,high,low,low,no,yes
389,7,4,aug,fri,high,low,high,high,high,low,low,no,no
390,7,4,feb,mon,low,low,low,low,low,high,high,no,yes
391,8,6,sep,fri,high,low,high,low,high,high,low,no,yes
392,1,3,sep,sun,high,low,high,low,high,low,low,no,yes
393,2,4,mar,tue,high,low,low,high,low,low,high,no,no
394,6,5,feb,mon,low,low,low,low,low,high,low,no,no
395,4,5,feb,sun,low,low,low,low,low,high,low,no,yes
396,4,3,sep,sun,low,low,high,high,high,high,high,no,yes
397,5,6,aug,sun,high,low,high,low,high,low,low,no,yes
398,1,2,aug,sat,high,low,high,low,high,low,low,no,no
399,9,5,jun,wed,high,low,low,high,high,low,high,no,no
400,9,5,jun,wed,high,low,low,high,high,low,high,no,yes
401,3,4,sep,thu,high,low,high,low,high,high,low,no,yes
402,9,9,aug,fri,high,low,high,high,high,low,low,no,no
403,8,6,aug,thu,high,low,high,low,high,low,low,no,no
404,2,4,sep,wed,low,low,high,low,high,low,low,no,yes
405,2,2,aug,tue,high,low,high,high,high,low,low,no,no
406,6,5,sep,sat,low,low,high,low,low,high,high,no,yes
407,4,5,feb,sat,low,low,low,low,low,high,low,no,no
408,4,3,sep,fri,low,low,high,low,high,low,low,no,yes
409,1,4,jul,tue,high,low,low,high,high,low,high,no,no
410,6,3,feb,fri,low,low,low,low,low,low,low,no,no
411,7,4,feb,fri,low,low,low,low,low,high,high,no,yes
412,9,4,jul,mon,high,low,low,high,high,low,high,no,yes
413,7,5,aug,sat,high,low,high,low,high,low,low,no,no
414,5,4,aug,sun,high,low,high,high,high,high,low,no,no
415,8,6,aug,thu,high,low,high,high,high,low,high,no,yes
416,6,3,jul,tue,high,low,high,low,high,low,low,no,yes
417,6,5,mar,wed,high,low,low,high,low,low,high,no,no
418,2,4,aug,sun,high,low,high,low,high,low,high,no,yes
419,2,5,aug,sun,high,low,high,low,high,low,low,no,yes
420,8,8,aug,wed,high,low,high,low,high,low,high,no,yes
421,2,4,aug,wed,high,low,high,high,high,low,high,no,no
422,8,6,jul,sun,low,low,high,low,high,low,low,no,yes
423,1,3,sep,sat,high,low,high,low,high,high,low,no,yes
424,8,6,aug,sat,high,low,high,low,high,low,low,no,yes
425,2,2,aug,thu,high,low,high,low,high,high,low,no,no
426,8,6,aug,thu,high,low,high,low,high,high,low,no,no
427,2,4,aug,mon,high,low,high,low,high,low,low,no,yes
428,1,3,aug,thu,high,low,high,high,high,low,high,no,no
429,3,4,aug,sun,high,low,high,low,high,low,low,no,yes
430,7,4,sep,thu,low,low,high,low,high,high,low,no,no
431,1,3,aug,sat,high,low,high,high,high,low,low,no,yes
432,8,6,aug,thu,high,low,high,high,high,low,high,no,no
433,2,4,aug,sun,high,low,high,high,high,high,high,no,yes
434,1,4,aug,fri,low,low,high,low,high,high,low,no,no
435,2,5,jul,sat,high,low,low,low,high,high,low,no,no
436,8,6,aug,mon,high,low,high,low,high,low,low,no,yes
437,8,6,aug,sat,low,low,high,high,low,high,low,no,no
438,2,5,aug,sat,high,low,high,low,high,high,low,no,yes
439,1,3,sep,fri,high,low,high,low,high,high,low,no,yes
440,5,4,sep,fri,low,low,high,low,low,high,low,no,no
441,8,6,aug,mon,high,low,high,low,high,low,low,no,yes
442,6,5,apr,mon,low,low,low,low,low,high,low,no,yes
443,1,2,jul,fri,high,low,low,high,low,high,high,no,no
444,2,5,sep,fri,low,low,high,low,low,high,low,no,yes
445,5,5,aug,sun,high,low,low,high,low,high,high,no,no
446,6,5,aug,sun,high,low,high,low,high,high,low,no,no
447,3,4,mar,wed,high,low,low,high,low,low,high,no,no
448,7,4,sep,wed,low,low,high,high,low,high,low,no,no
449,7,4,aug,sun,high,low,high,low,high,high,high,no,no
450,4,5,aug,wed,high,low,high,high,high,high,high,no,yes
451,1,4,aug,fri,low,low,high,high,low,high,high,no,yes
452,7,4,aug,mon,high,low,high,low,low,high,low,no,no
453,4,5,aug,thu,low,low,high,low,low,high,low,no,no
454,3,4,aug,thu,high,low,high,low,low,high,low,no,no
455,3,4,jul,mon,high,low,high,high,low,high,low,no,no
